Total Nacional;Comunidades y Ciudades Autónomas;Mes;Sexo;Total
Total Nacional;10 Comunitat Valenciana;Agosto;Mujeres;1.917
Total Nacional;10 Comunitat Valenciana;Septiembre;Total;3.429
Total Nacional;10 Comunitat Valenciana;Septiembre;Hombres;1.765
Total Nacional;10 Comunitat Valenciana;Septiembre;Mujeres;1.664
Total Nacional;10 Comunitat Valenciana;Octubre;Total;3.512
Total Nacional;10 Comunitat Valenciana;Octubre;Hombres;1.802
Total Nacional;10 Comunitat Valenciana;Octubre;Mujeres;1.710
Total Nacional;10 Comunitat Valenciana;Noviembre;Total;4.071
Total Nacional;10 Comunitat Valenciana;Noviembre;Hombres;2.145
Total Nacional;10 Comunitat Valenciana;Noviembre;Mujeres;1.926
Total Nacional;10 Comunitat Valenciana;Diciembre;Total;4.633
Total Nacional;10 Comunitat Valenciana;Diciembre;Hombres;2.428
Total Nacional;10 Comunitat Valenciana;Diciembre;Mujeres;2.205
Total Nacional;11 Extremadura;Total;Total;12.333
Total Nacional;11 Extremadura;Total;Hombres;6.350
Total Nacional;11 Extremadura;Total;Mujeres;5.983
Total Nacional;11 Extremadura;Enero;Total;1.620
Total Nacional;11 Extremadura;Enero;Hombres;809
Total Nacional;11 Extremadura;Enero;Mujeres;811
Total Nacional;11 Extremadura;Febrero;Total;1.124
Total Nacional;11 Extremadura;Febrero;Hombres;616
Total Nacional;11 Extremadura;Febrero;Mujeres;508
Total Nacional;11 Extremadura;Marzo;Total;943
Total Nacional;11 Extremadura;Marzo;Hombres;480
Total Nacional;11 Extremadura;Marzo;Mujeres;463
Total Nacional;11 Extremadura;Abril;Total;907
Total Nacional;11 Extremadura;Abril;Hombres;461
Total Nacional;11 Extremadura;Abril;Mujeres;446
Total Nacional;11 Extremadura;Mayo;Total;880
Total Nacional;11 Extremadura;Mayo;Hombres;459
Total Nacional;11 Extremadura;Mayo;Mujeres;421
Total Nacional;11 Extremadura;Junio;Total;850
Total Nacional;11 Extremadura;Junio;Hombres;431
Total Nacional;11 Extremadura;Junio;Mujeres;419
Total Nacional;11 Extremadura;Julio;Total;963
Total Nacional;11 Extremadura;Julio;Hombres;514
Total Nacional;11 Extremadura;Julio;Mujeres;449
Total Nacional;11 Extremadura;Agosto;Total;1.039
Total Nacional;11 Extremadura;Agosto;Hombres;523
Total Nacional;11 Extremadura;Agosto;Mujeres;516
Total Nacional;11 Extremadura;Septiembre;Total;954
Total Nacional;11 Extremadura;Septiembre;Hombres;524
Total Nacional;11 Extremadura;Septiembre;Mujeres;430
Total Nacional;11 Extremadura;Octubre;Total;919
Total Nacional;11 Extremadura;Octubre;Hombres;468
Total Nacional;11 Extremadura;Octubre;Mujeres;451
Total Nacional;11 Extremadura;Noviembre;Total;990
Total Nacional;11 Extremadura;Noviembre;Hombres;481
Total Nacional;11 Extremadura;Noviembre;Mujeres;509
Total Nacional;11 Extremadura;Diciembre;Total;1.144
Total Nacional;11 Extremadura;Diciembre;Hombres;584
Total Nacional;11 Extremadura;Diciembre;Mujeres;560
Total Nacional;12 Galicia;Total;Total;32.841
Total Nacional;12 Galicia;Total;Hombres;16.586
Total Nacional;12 Galicia;Total;Mujeres;16.255
Total Nacional;12 Galicia;Enero;Total;3.519
Total Nacional;12 Galicia;Enero;Hombres;1.805
Total Nacional;12 Galicia;Enero;Mujeres;1.714
Total Nacional;12 Galicia;Febrero;Total;2.779
Total Nacional;12 Galicia;Febrero;Hombres;1.415
Total Nacional;12 Galicia;Febrero;Mujeres;1.364
Total Nacional;12 Galicia;Marzo;Total;2.794
Total Nacional;12 Galicia;Marzo;Hombres;1.477
Total Nacional;12 Galicia;Marzo;Mujeres;1.317
Total Nacional;12 Galicia;Abril;Total;2.619
Total Nacional;12 Galicia;Abril;Hombres;1.294
Total Nacional;12 Galicia;Abril;Mujeres;1.325
Total Nacional;12 Galicia;Mayo;Total;2.584
Total Nacional;12 Galicia;Mayo;Hombres;1.276
Total Nacional;12 Galicia;Mayo;Mujeres;1.308
Total Nacional;12 Galicia;Junio;Total;2.450
Total Nacional;12 Galicia;Junio;Hombres;1.255
